h.ela,yr.ela,t.response,dl_f,bump,bump height
1850.0,1500.0,697.115,9450.0,True,20.0
1800.0,500.0,296.835,3300.0,True,20.0
1750.0,1000.0,167.83500000000004,2600.0,True,20.0
1700.0,1000.0,135.92500000000018,2200.0,True,20.0
1750.0,500.0,151.9000000000001,-2100.0,True,20.0
1800.0,500.0,173.61499999999978,-2300.0,True,20.0
1850.0,500.0,238.13500000000022,-2900.0,True,20.0
