h.ela,yr.ela,t.response,dl_f,bump,bump height
1850.0,1500.0,697.115,9450.0,True,40.0
1800.0,500.0,320.105,3600.0,True,40.0
1750.0,1000.0,146.74,2500.0,True,40.0
1700.0,1000.0,142.7800000000002,2100.0,True,40.0
1750.0,500.0,143.61500000000024,-2000.0,True,40.0
1800.0,500.0,177.22500000000036,-2300.0,True,40.0
1850.0,500.0,207.60000000000036,-2800.0,True,40.0
